registro;timestamp;humedad_pct;humedad_raw;estado_suelo;temperatura_c;notas
444;T+34:05:01;100;0;HUMEDO;36.19;
445;T+34:10:01;100;0;HUMEDO;36.38;
446;T+34:15:01;100;0;HUMEDO;36.19;
447;T+34:20:01;100;0;HUMEDO;36.38;
448;T+34:25:01;100;0;HUMEDO;36.19;
449;T+34:30:01;100;0;HUMEDO;36.13;
450;T+34:35:01;100;0;HUMEDO;36.13;
451;T+34:40:01;100;0;HUMEDO;36.19;
452;T+34:45:01;100;0;HUMEDO;36.13;
453;T+34:50:01;100;0;HUMEDO;36.06;
454;T+34:55:01;100;0;HUMEDO;36.25;
455;T+35:00:01;100;0;HUMEDO;36.06;
456;T+35:05:01;100;0;HUMEDO;36.13;
457;T+35:10:01;100;0;HUMEDO;36.13;
458;T+35:15:01;100;0;HUMEDO;36.00;
459;T+35:20:01;100;0;HUMEDO;36.00;
460;T+35:25:01;100;0;HUMEDO;36.06;
461;T+35:30:01;100;0;HUMEDO;36.06;
462;T+35:35:01;100;0;HUMEDO;35.94;
463;T+35:40:01;100;0;HUMEDO;35.94;
464;T+35:45:01;100;0;HUMEDO;35.94;
465;T+35:50:01;100;0;HUMEDO;35.94;
466;T+35:55:01;100;0;HUMEDO;36.00;
467;T+36:00:01;100;0;HUMEDO;36.00;
468;T+36:05:01;100;0;HUMEDO;35.81;
469;T+36:10:01;100;0;HUMEDO;35.94;
470;T+36:15:01;100;0;HUMEDO;35.94;
471;T+36:20:01;100;0;HUMEDO;35.81;
472;T+36:25:01;100;0;HUMEDO;35.81;
473;T+36:30:01;100;0;HUMEDO;35.81;
474;T+36:35:01;100;0;HUMEDO;35.75;
475;T+36:40:01;100;0;HUMEDO;35.69;
476;T+36:45:01;100;0;HUMEDO;35.63;
477;T+36:50:01;100;0;HUMEDO;35.75;
478;T+36:55:01;100;0;HUMEDO;35.69;
479;T+37:00:01;100;0;HUMEDO;35.69;
480;T+37:05:01;100;0;HUMEDO;35.63;
481;T+37:10:01;100;0;HUMEDO;35.50;
482;T+37:15:01;100;0;HUMEDO;35.56;
483;T+37:20:01;100;0;HUMEDO;35.63;
484;T+37:25:01;100;0;HUMEDO;35.50;
485;T+37:30:01;100;0;HUMEDO;35.50;
486;T+37:35:01;100;0;HUMEDO;35.44;
487;T+37:40:01;100;0;HUMEDO;35.50;
488;T+37:45:01;100;0;HUMEDO;35.50;
489;T+37:50:01;100;0;HUMEDO;35.44;
